"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2009","943.50","927.00","1,007.70","890.30","1.97M","1.63%"
"01/01/2009","928.40","876.70","931.30","804.60","263.76K","4.93%"
"12/01/2008","884.80","819.00","892.00","741.20","1.66M","8.03%"
"11/01/2008","819.00","739.20","834.00","700.00","128.48K","13.92%"
"10/01/2008","718.90","876.90","936.30","681.00","2.64M","-18.38%"
"09/01/2008","880.80","808.90","932.00","743.50","326.35K","5.71%"
"08/01/2008","833.20","917.70","921.30","774.00","131.19K","-9.24%"
"07/01/2008","918.00","942.80","992.00","897.90","40.50K","-1.35%"
"06/01/2008","930.60","891.30","932.50","859.60","2.23M","4.39%"
"05/01/2008","891.50","867.70","937.30","850.00","260.95K","2.80%"
"04/01/2008","867.20","920.50","956.20","873.40","2.31M","-5.89%"
"03/01/2008","921.50","985.90","1,034.30","908.70","248.14K","-5.73%"
"02/01/2008","977.50","929.80","977.60","888.40","2.17M","5.33%"
"01/01/2008","928.00","847.70","942.20","847.70","234.80K","10.32%"
"12/01/2007","841.20","789.40","838.50","783.00","1.42M","6.60%"
"11/01/2007","789.10","811.50","841.90","778.10","233.65K","-1.18%"
"10/01/2007","798.50","750.60","798.30","726.30","2.13M","6.47%"
"09/01/2007","750.00","688.50","752.80","686.60","185.62K","10.49%"
"08/01/2007","678.80","668.60","682.00","646.40","67.86K","0.86%"
"07/01/2007","673.00","659.00","690.40","656.00","11.86K","2.92%"
"06/01/2007","653.90","666.50","679.50","641.10","1.29M","-1.92%"
"05/01/2007","666.70","689.40","694.60","656.30","152.69K","-2.91%"
"04/01/2007","686.70","671.10","698.00","661.70","1.19M","2.65%"
"03/01/2007","669.00","656.20","673.80","642.50","151.19K","-0.98%"
"02/01/2007","675.60","658.50","699.00","648.00","1.12M","2.69%"
"01/01/2007","657.90","649.00","660.70","608.00","131.40K","2.62%"
"12/01/2006","641.10","655.00","655.50","615.10","683.28K","-1.81%"
"11/01/2006","652.90","627.00","654.50","626.50","71.88K","7.07%"
"10/01/2006","609.80","604.00","618.50","563.50","652.91K","0.93%"
"09/01/2006","604.20","633.50","633.50","586.00","81.87K","-4.28%"
"08/01/2006","631.20","640.40","662.50","610.00","61.93K","-1.44%"
"07/01/2006","640.40","654.00","667.00","610.00","5.52K","3.41%"
"06/01/2006","619.30","649.80","651.30","546.40","959.91K","-4.58%"
"05/01/2006","649.00","664.40","730.00","641.00","134.52K","-1.32%"
"04/01/2006","657.70","587.80","653.00","586.30","1.02M","12.10%"
"03/01/2006","586.70","545.00","594.60","545.00","173.78K","3.57%"
"02/01/2006","566.50","575.00","579.50","537.80","989.37K","-1.56%"
"01/01/2006","575.50","537.30","577.30","525.00","131.20K","10.42%"
"12/01/2005","521.20","498.00","544.50","492.30","1.00M","4.51%"
"11/01/2005","498.70","458.50","506.70","458.50","129.39K","6.38%"
"10/01/2005","468.80","471.50","483.10","462.00","993.57K","-0.74%"
"09/01/2005","472.30","473.10","477.80","471.10","119.62K","8.18%"
"08/01/2005","436.60","432.60","452.20","431.60","155.01K","0.88%"
"07/01/2005","432.80","422.00","433.50","422.00","9.90K","-1.32%"
"06/01/2005","438.60","418.70","445.40","416.70","1.08M","4.70%"
"05/01/2005","418.90","422.70","422.90","415.80","132.97K","-4.23%"
"04/01/2005","437.40","431.10","439.10","423.50","731.94K","1.46%"
"03/01/2005","431.10","435.70","435.70","428.00","77.71K","-1.75%"
"02/01/2005","438.80","424.30","438.20","411.50","740.43K","3.47%"
"01/01/2005","424.10","420.00","429.70","420.00","131.99K","-3.48%"
"12/01/2004","439.40","453.40","458.70","432.90","885.97K","-3.05%"
"11/01/2004","453.20","440.60","457.00","439.00","152.65K","5.32%"
"10/01/2004","430.30","420.40","432.00","410.50","913.35K","2.35%"
"09/01/2004","420.40","405.30","420.80","405.30","137.25K","2.11%"
"08/01/2004","411.70","393.40","415.50","388.30","70.61K","4.92%"
"07/01/2004","392.40","407.00","407.00","386.00","9.11K","-0.30%"
